symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
MMM,133.14,132.0,135.84,131.01,3777954,0.0,2020-04-01,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-01 - 2020-04-07,1,-0.70623104498109,-0.70623104498109
MMM,137.91,132.36,138.21,132.1,3990340,3.58,2020-04-02,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-01 - 2020-04-07,1,-0.6871802348834919,-0.6871802348834919
MMM,133.79,136.01,137.44,132.9,3588252,-2.99,2020-04-03,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-01 - 2020-04-07,1,-0.7232471231460093,-0.7232471231460093
MMM,140.7,137.86,141.25,136.9,5639666,5.16,2020-04-06,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-01 - 2020-04-07,1,-0.5392373553385548,-0.5392373553385548
MMM,144.6,147.5,150.64,144.4,5496738,2.77,2020-04-07,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-01 - 2020-04-07,1,-0.5520578528554791,-0.5520578528554791
MMM,148.99,145.73,149.72,143.91,3071063,3.04,2020-04-08,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-08 - 2020-04-14,2,-0.7696384550773354,-0.7696384550773354
MMM,147.78,148.46,149.73,146.54,4784237,-0.81,2020-04-09,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-08 - 2020-04-14,2,-0.6159684742963872,-0.6159684742963872
MMM,146.4,147.5,148.58,145.3,2642295,-0.93,2020-04-13,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-08 - 2020-04-14,2,-0.8080985124442378,-0.8080985124442378
MMM,150.14,149.62,150.98,148.05,3318390,2.55,2020-04-14,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-08 - 2020-04-14,2,-0.7474534725031138,-0.7474534725031138
MMM,145.16,148.19,148.55,144.9,3043859,-3.32,2020-04-15,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-15 - 2020-04-21,3,-0.7720786264534858,-0.7720786264534858
MMM,144.9,145.27,146.44,143.23,4170357,-0.18,2020-04-16,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-15 - 2020-04-21,3,-0.6710328914553031,-0.6710328914553031
MMM,146.46,147.44,148.5,144.8,5393130,1.08,2020-04-17,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-15 - 2020-04-21,3,-0.5613513860101689,-0.5613513860101689
MMM,143.67,144.75,147.02,143.65,2893045,-1.9,2020-04-20,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-15 - 2020-04-21,3,-0.7856064902206792,-0.7856064902206792
MMM,141.63,142.25,142.77,140.5,2331372,-1.42,2020-04-21,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-15 - 2020-04-21,3,-0.835987992108507,-0.835987992108507
MMM,143.61,143.36,144.48,141.71,2750414,1.4,2020-04-22,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-22 - 2020-04-28,4,-0.7984003471370038,-0.7984003471370038
MMM,144.33,144.58,147.58,143.88,2585335,0.5,2020-04-23,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-22 - 2020-04-28,4,-0.8132077670239144,-0.8132077670239144
MMM,147.0,145.17,147.34,144.31,2247654,1.85,2020-04-24,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-22 - 2020-04-28,4,-0.8434974123139383,-0.8434974123139383
MMM,153.65,148.0,154.49,147.89,4644944,4.52,2020-04-27,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-22 - 2020-04-28,4,-0.6284629159776879,-0.6284629159776879
MMM,157.61,160.03,163.08,155.2,8294104,2.58,2020-04-28,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-22 - 2020-04-28,4,-0.3011369426284514,-0.3011369426284514
